t,W,p_R,B_drive,R_drive
181,1.3197696210335117,0.9623709331043252,1.0,1.0
182,1.3186719761015295,0.9620636529546668,1.0,1.0
183,1.3176385809005193,0.9617549174941221,1.0,1.0
184,1.3166692118197456,0.9614447828954618,1.0,1.0
185,1.3156562463928307,0.9617909471571967,0.0,0.0
186,1.3146007497958383,0.9621308050211069,0.0,0.0
187,1.313503761711473,0.9624645142391167,0.0,0.0
188,1.3123662970455046,0.96279222766095,0.0,0.0
189,1.3111893466198954,0.9631140934122546,0.0,0.0
190,1.309973877843463,0.9634302550654895,0.0,0.0
191,1.3087208353608726,0.9637408518038901,0.0,0.0
192,1.307431141680731,0.9640460185788139,0.0,0.0
193,1.306105697783526,0.9643458862607536,0.0,0.0
194,1.3047453837101228,0.9646405817842941,0.0,0.0
195,1.303351059131509,0.9649302282872754,0.0,0.0
196,1.3019235639004492,0.9652149452444113,0.0,0.0
197,1.3004637185856913,0.9654948485956072,0.0,0.0
198,1.298972324989337,0.9657700508692016,0.0,0.0
199,1.2974501666479703,0.9660406613003526,0.0,0.0
200,1.2959882293104046,0.9657589581519025,1.0,1.0
201,1.2945863669811957,0.9654757609340499,1.0,1.0
202,1.2932444284585696,0.9651911077805256,1.0,1.0
203,1.291962257308605,0.9649050371279596,1.0,1.0
204,1.2907396918416216,0.9646175877080826,1.0,1.0
205,1.289483972985362,0.9648928865763813,0.0,0.0
206,1.2881958771825106,0.9651637447943241,0.0,0.0
207,1.2868761640394895,0.9654302608049103,0.0,0.0
208,1.2855255767486686,0.965692530337281,0.0,0.0
209,1.284144842498316,0.965950646494281,0.0,0.0
210,1.2827346728706792,0.9662046998368627,0.0,0.0
211,1.2812957642285787,0.9664547784654491,0.0,0.0
212,1.2798287980908785,0.9667009680983757,0.0,0.0
213,1.2783344414971893,0.9669433521475255,0.0,0.0
214,1.276813347362149,0.967182011791263,0.0,0.0
215,1.275266154819609,0.967417026044774,0.0,0.0
216,1.273693489557049,0.9676484718279093,0.0,0.0
217,1.272095964140532,0.9678764240306291,0.0,0.0
218,1.2704741783304934,0.9681009555761412,0.0,0.0
219,1.2688287193886607,0.9683221374818188,0.0,0.0
220,1.2672396397990418,0.9680591639967971,1.0,1.0
221,1.2657068278910626,0.9677947653585992,1.0,1.0
222,1.2642301681111106,0.9675289687766503,1.0,1.0
223,1.2628095409871567,0.9672618017933227,1.0,1.0
224,1.2614448230947526,0.9669932922797243,1.0,1.0
225,1.260054208518074,0.9672191581187268,0.0,0.0
226,1.258638284327395,0.9674417584079384,0.0,0.0
227,1.257197625925857,0.9676611580138146,0.0,0.0
228,1.2557327973128838,0.9678774202012267,0.0,0.0
229,1.2542443513407369,0.9680906066797081,0.0,0.0
230,1.2527328299644018,0.9683007776482081,0.0,0.0
